DestIP,Source,ioc
185.143.228.159,Twitter-[drb_ra],[#C2 #Remcos]
38.242.237.39,Twitter-[drb_ra],[#C2 #Remcos]
143.92.49.221,Twitter-[drb_ra],[#C2 #Reverse_SSH]
103.140.239.174,Twitter-[drb_ra],[#C2 #Reverse_SSH]
45.10.244.209,Twitter-[drb_ra],[#C2 #Interactsh]
151.115.78.120,Twitter-[drb_ra],[#C2 #Interactsh]
35.223.178.212,Twitter-[drb_ra],[#C2 #Interactsh]
101.126.151.38,Twitter-[drb_ra],"[#C2 #Supershell,#C2 #Reverse_SSH]"
23.27.169.64,Twitter-[drb_ra],[#C2 #Dcrat]
149.109.82.24,Twitter-[drb_ra],[#C2 #Qakbot]
217.165.61.21,Twitter-[drb_ra],[#C2 #Qakbot]
20.171.239.168,Twitter-[drb_ra],[#C2]
192.248.154.28,Twitter-[drb_ra],[#C2]
35.180.135.155,Twitter-[drb_ra],[#C2 #Havoc]
120.223.239.172,Twitter-[drb_ra],[#C2 #Deimos]
185.143.220.95,Twitter-[drb_ra],[#C2 #Deimos]
18.252.164.90,Twitter-[drb_ra],[#Deimos #C2]
75.2.13.64,Twitter-[drb_ra],[#Deimos #C2]
140.233.190.88,Twitter-[drb_ra],[#Deimos #C2]
104.21.96.1,Twitter-[drb_ra],[#C2]
47.111.14.25,Twitter-[drb_ra],[#C2 #CobaltStrike]
65.99.193.152,Twitter-[drb_ra],[#C2 #CobaltStrike]
142.171.168.59,Twitter-[drb_ra],[#C2 #CobaltStrike]
49.0.254.101,Twitter-[drb_ra],[#C2 #CobaltStrike]
117.72.79.68,Twitter-[drb_ra],[#C2 #CobaltStrike]
47.83.202.108,Twitter-[drb_ra],[#C2 #CobaltStrike]
47.121.26.42,Twitter-[drb_ra],[#C2 #CobaltStrike]
115.29.202.62,Twitter-[drb_ra],[#C2 #CobaltStrike]
155.94.155.173,Twitter-[skocherhan],[]
155.94.155.226,Twitter-[skocherhan],[]
45.61.165.8,Twitter-[skocherhan],[#Lumma]
77.239.106.57,Twitter-[skocherhan],[#Trojan]
84.21.189.68,Twitter-[skocherhan],[#Trojan]
198.12.83.69,Twitter-[JAMESWT_WT],[]
18.136.205.188,Twitter-[drb_ra],[#C2 #CobaltStrike]
47.83.218.228,Twitter-[drb_ra],"[#C2 #CobaltStrike,#CobaltStrike #C2]"
107.172.140.211,Twitter-[drb_ra],[#C2 #CobaltStrike]
39.101.74.162,Twitter-[drb_ra],[#C2 #CobaltStrike]
101.200.0.0,Twitter-[SarlackLab],"[#C2,]"
47.122.0.0,Twitter-[SarlackLab],[#C2]
196.251.84.0,Twitter-[SarlackLab],"[#C2,]"
45.78.6.141,Twitter-[drb_ra],[#C2 #Deimos]
176.123.2.6,Twitter-[drb_ra],[#C2 #Mythic]
143.198.144.177,Twitter-[drb_ra],[#C2 #Mythic]
51.75.205.189,Twitter-[drb_ra],[#C2 #Covenant]
158.247.241.219,Twitter-[drb_ra],[#C2 #Sliver]
35.180.193.218,Twitter-[drb_ra],[#C2 #Sliver]
123.56.160.155,Twitter-[drb_ra],[#C2 #Sliver]
24.255.243.54,Twitter-[drb_ra],[#Remcos #C2]
88.214.59.189,Twitter-[drb_ra],[#Remcos #C2]
203.202.232.196,Twitter-[drb_ra],[#Remcos #C2]
196.251.117.47,Twitter-[drb_ra],[#Remcos #C2]
84.38.133.210,Twitter-[drb_ra],[#Remcos #C2]
101.126.148.104,Twitter-[drb_ra],[#Reverse_SSH #C2]
15.157.71.70,Twitter-[drb_ra],[#NetSupportRAT #C2]
34.247.188.220,Twitter-[drb_ra],[#NetSupportRAT #C2]
109.195.115.106,Twitter-[drb_ra],[#NetSupportRAT #C2]
43.198.245.54,Twitter-[drb_ra],[#NetSupportRAT #C2]
13.62.49.104,Twitter-[drb_ra],[#NetSupportRAT #C2]
123.56.48.58,Twitter-[drb_ra],[#Supershell #C2]
85.143.217.68,Twitter-[drb_ra],[#Deimos #C2]
43.141.131.221,Twitter-[drb_ra],[#Deimos #C2]
192.9.150.144,Twitter-[drb_ra],[#Deimos #C2]
18.252.157.156,Twitter-[drb_ra],[#Deimos #C2]
84.21.189.133,Twitter-[1ZRR4H],[]
210.79.155.133,Twitter-[drb_ra],[#CobaltStrike #C2]
104.206.82.44,Twitter-[skocherhan],[]
103.255.237.10,Twitter-[skocherhan],[]
192.169.69.25,Twitter-[SarlackLab],[#Njrat #C2]
93.95.226.202,Twitter-[skocherhan],[]
89.116.133.168,Twitter-[skocherhan],[]
84.200.77.114,Twitter-[drb_ra],[#Sliver #C2]
77.110.123.63,Twitter-[drb_ra],[#Sliver #C2]
85.9.205.40,Twitter-[drb_ra],[#Sliver #C2]
123.163.206.136,Twitter-[drb_ra],[#Sliver #C2]
16.24.70.88,Twitter-[drb_ra],[#NetSupportRAT #C2]
13.247.60.219,Twitter-[drb_ra],[#NetSupportRAT #C2]
147.93.177.187,Twitter-[drb_ra],[#AsyncRAT #C2]
147.182.145.138,Twitter-[drb_ra],[#Interactsh #C2]
83.217.220.229,Twitter-[drb_ra],[#Interactsh #C2]
93.127.142.157,Twitter-[drb_ra],[#Hookbot #Pegasus #C2]
162.213.249.133,Twitter-[drb_ra],[#Evilginx #EvilGoPhish #C2]
124.221.221.58,Twitter-[drb_ra],"[#Supershell #C2,#C2 #Reverse_SSH]"
103.233.8.39,Twitter-[drb_ra],[#Supershell #C2]
34.242.71.219,Twitter-[drb_ra],[#C2]
147.182.244.59,Twitter-[drb_ra],[#C2]
137.59.231.46,Twitter-[drb_ra],[#C2]
202.71.14.166,Twitter-[drb_ra],[#Havoc #C2]
143.198.91.116,Twitter-[drb_ra],[#Havoc #C2]
82.153.138.122,Twitter-[drb_ra],[#Havoc #C2]
16.171.254.61,Twitter-[drb_ra],[#Havoc #C2]
31.57.63.237,Twitter-[drb_ra],"[#Havoc #C2,#C2 #CobaltStrike]"
66.63.187.17,Twitter-[drb_ra],[#Havoc #C2]
18.143.195.26,Twitter-[drb_ra],[#Bianlian #C2]
54.244.234.231,Twitter-[drb_ra],[#C2 #Deimos]
45.55.67.75,Twitter-[drb_ra],[#Mythic #C2]
102.117.172.39,Twitter-[drb_ra],[#Mythic #C2]
57.182.176.173,Twitter-[drb_ra],[#C2 #Brute_Ratel_C4]
108.61.205.235,Twitter-[drb_ra],[#Sliver #C2]
38.47.120.26,Twitter-[drb_ra],"[#Sliver #C2,#C2 #CobaltStrike]"
144.172.122.100,Twitter-[drb_ra],[#C2]
72.10.134.202,Twitter-[drb_ra],[#Hak5_Cloud_C2 #C2]
37.221.66.178,Twitter-[drb_ra],[#C2]
84.247.182.55,Twitter-[drb_ra],[#C2]
62.113.66.7,Twitter-[drb_ra],[#C2]
172.111.244.101,Twitter-[drb_ra],[#C2 #Remcos]
172.94.18.114,Twitter-[drb_ra],[#C2 #Remcos]
51.68.244.175,Twitter-[drb_ra],[#C2 #Remcos]
93.198.181.242,Twitter-[drb_ra],[#C2 #NetSupportRAT]
13.250.126.10,Twitter-[drb_ra],[#C2 #NetSupportRAT]
38.181.20.6,Twitter-[skocherhan],[]
195.58.39.75,Twitter-[skocherhan],[#SmokeLoader]
188.114.97.3,"Twitter-[skocherhan,JAMESWT_WT]",[]
114.55.147.24,Twitter-[drb_ra],[#CobaltStrike #C2]
47.109.83.84,Twitter-[drb_ra],[#CobaltStrike #C2]
10.10.16.19,Twitter-[drb_ra],[#CobaltStrike #C2]
95.111.251.4,Twitter-[drb_ra],[#CobaltStrike #C2]
196.251.87.111,Twitter-[drb_ra],[#CobaltStrike #C2]
94.141.123.139,Twitter-[K_N1kolenko],[#Xworm #RAT]
192.3.108.238,Twitter-[K_N1kolenko],[#Xworm #RAT]
31.56.48.161,Twitter-[K_N1kolenko],[#Xworm #RAT]
23.95.206.253,Twitter-[K_N1kolenko],[#Xworm #RAT]
147.50.253.17,Twitter-[K_N1kolenko],[#Xworm #RAT]
172.245.21.131,Twitter-[K_N1kolenko],[#Xworm #RAT]
41.103.158.248,Twitter-[SarlackLab],[#Njrat #C2]
198.98.56.220,Twitter-[sicehice],[]
166.0.132.184,Twitter-[drb_ra],[#Sliver #C2]
91.241.93.244,Twitter-[drb_ra],[#EvilGoPhish #Evilginx #C2]
67.71.45.64,Twitter-[drb_ra],[#Qakbot #C2]
52.48.172.163,Twitter-[drb_ra],[#Deimos #C2]
182.30.8.113,Twitter-[drb_ra],[#C2 #Deimos]
194.87.239.112,Twitter-[drb_ra],[#C2 #Deimos]
18.220.79.189,Twitter-[drb_ra],[#C2 #Mythic]
188.124.51.141,Twitter-[drb_ra],[#C2 #Mythic]
89.197.168.150,Twitter-[drb_ra],[#C2 #Mythic]
146.190.161.203,Twitter-[drb_ra],[#C2 #Mythic]
94.237.95.180,Twitter-[drb_ra],[#C2]
95.99.61.198,Twitter-[drb_ra],[#C2]
154.44.28.33,Twitter-[drb_ra],[#C2]
15.168.61.27,Twitter-[drb_ra],[#C2 #NetSupportRAT]
16.78.2.231,Twitter-[drb_ra],[#C2 #NetSupportRAT]
54.198.55.119,Twitter-[drb_ra],[#C2 #NetSupportRAT]
43.203.255.221,Twitter-[drb_ra],[#C2 #NetSupportRAT]
